Membership No  Date Joined  Active  
    18153      2020-6-14    no    
    24208      2017-1-21    no    
    55074      2015-5-1     no    
    43647      2018-12-3    no    
    15218      2016-2-14    no    
    48651      2020-6-5     no    
    28406      2019-7-16    no    
    67446      2016-2-25    no    
    77040      2016-7-7     no    
    31411      2020-9-24    no    
    34709      2018-6-12    no    
    63809      2016-12-25   no    
    81396      2017-9-6     no    
    83695      2017-7-2     no    
    72208      2016-9-21    no    
