Membership No  Date Joined  Active  
    76385      2015-11-17   no    
    41024      2018-11-7    no    
    83112      2019-7-19    no    
    60434      2019-4-8     no    
    45871      2017-7-2     no    
    52713      2018-4-15    no    
    15365      2019-4-4     no    
    88782      2018-9-13    no    
    14990      2016-8-18    no    
    43172      2015-9-19    no    
    78869      2017-9-6     no    
    80256      2017-5-11    no    
    91656      2018-4-1     no    
    90077      2015-1-24    no    
    47976      2018-10-18   no    
